Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3324-2289-2718-99084..1,"Feb 1, 2026",8:15:25 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,WV,25143,USD,-0.37,6.293100,DKK,-2.33,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3386-5518-0520-36735..0,"Feb 1, 2026",9:01:13 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,CA,92553,USD,2.49,6.293800,DKK,15.67,prosub,,4994183596643847628,Yes,,,,
GPA.3386-5518-0520-36735..0,"Feb 1, 2026",9:01:13 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,CA,92553,USD,-0.37,6.293800,DKK,-2.33,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3382-1768-2961-59059..4,"Feb 1, 2026",11:39:34 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,11224,SEK,22.40,0.705490,DKK,15.80,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3382-1768-2961-59059..4,"Feb 1, 2026",11:39:34 PM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,11224,SEK,-3.36,0.705490,DKK,-2.37,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3323-6350-3775-50742..6,"Feb 1, 2026",11:44:22 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,IL,60162,USD,1.99,6.300800,DKK,12.54,prosub,,4994183596643847628,Yes,,,,
GPA.3323-6350-3775-50742..6,"Feb 1, 2026",11:44:22 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,US,IL,60162,USD,-0.30,6.300800,DKK,-1.89,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3328-3004-4625-08923..6,"Feb 1, 2026",11:58:26 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,907 35,SEK,23.20,0.705490,DKK,16.37,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3328-3004-4625-08923..6,"Feb 1, 2026",11:58:26 PM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,907 35,SEK,-3.48,0.705490,DKK,-2.46,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3319-0126-2825-78670,"Feb 2, 2026",12:40:05 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,e2s,NL,,3312 AW,EUR,1.98,7.468100,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,In-app
GPA.3319-0126-2825-78670,"Feb 2, 2026",12:40:05 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,e2s,NL,,3312 AW,EUR,-0.30,7.468100,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3332-9141-8175-23912..10,"Feb 2, 2026",2:17:27 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,6522,NOK,24.00,0.650420,DKK,15.61,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3332-9141-8175-23912..10,"Feb 2, 2026",2:17:27 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,6522,NOK,-3.60,0.650420,DKK,-2.34,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3303-4464-5027-88433..10,"Feb 2, 2026",2:25:27 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,1263,NOK,24.00,0.650420,DKK,15.61,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3303-4464-5027-88433..10,"Feb 2, 2026",2:25:27 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,1263,NOK,-3.60,0.650420,DKK,-2.34,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3330-5088-5109-37038..0,"Feb 2, 2026",3:03:32 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,6240,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3330-5088-5109-37038..0,"Feb 2, 2026",3:03:32 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,6240,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3390-7498-1026-89267..5,"Feb 2, 2026",4:17:14 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,53334,SEK,22.40,0.705800,DKK,15.81,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3390-7498-1026-89267..5,"Feb 2, 2026",4:17:14 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,53334,SEK,-3.36,0.705800,DKK,-2.37,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3323-1947-8537-55387,"Feb 2, 2026",4:18:40 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,OP5E1BL1,BE,,3500,EUR,1.98,7.469500,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,In-app
GPA.3323-1947-8537-55387,"Feb 2, 2026",4:18:40 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,OP5E1BL1,BE,,3500,EUR,-0.30,7.469500,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3324-4151-2988-11336..2,"Feb 2, 2026",5:00:01 AM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,,5116,AUD,3.63,4.382600,DKK,15.91,prosub,,4994183596643847628,Yes,,,,
GPA.3324-4151-2988-11336..2,"Feb 2, 2026",5:00:01 AM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,AU,,5116,AUD,-0.54,4.382600,DKK,-2.37,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3304-5188-7923-53449..14,"Feb 2, 2026",5:40:49 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,9512,NOK,23.20,0.651410,DKK,15.11,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3304-5188-7923-53449..14,"Feb 2, 2026",5:40:49 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,9512,NOK,-3.48,0.651410,DKK,-2.26,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3365-5500-6128-81563..10,"Feb 2, 2026",6:04:01 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,5610,DKK,15.20,1.000000,DKK,15.20,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3365-5500-6128-81563..10,"Feb 2, 2026",6:04:01 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,DK,,5610,DKK,-2.28,1.000000,DKK,-2.28,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3360-5433-8692-55893..9,"Feb 2, 2026",6:48:34 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,25375,SEK,23.20,0.705190,DKK,16.36,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3360-5433-8692-55893..9,"Feb 2, 2026",6:48:34 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,25375,SEK,-3.48,0.705190,DKK,-2.45,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3373-3309-3272-91192..14,"Feb 2, 2026",7:14:31 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,71693,SEK,23.20,0.705360,DKK,16.36,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3373-3309-3272-91192..14,"Feb 2, 2026",7:14:31 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,71693,SEK,-3.48,0.705360,DKK,-2.45,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3304-3882-7706-69656..3,"Feb 2, 2026",7:22:19 AM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,GB,,EX5 3NE,GBP,1.74,8.626000,DKK,15.01,prosub,,4994183596643847628,Yes,,,,
GPA.3304-3882-7706-69656..3,"Feb 2, 2026",7:22:19 AM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,GB,,EX5 3NE,GBP,-0.26,8.626000,DKK,-2.24,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3363-7040-4804-52009..13,"Feb 2, 2026",8:12:32 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,746 33,SEK,23.20,0.705110,DKK,16.36,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3363-7040-4804-52009..13,"Feb 2, 2026",8:12:32 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,746 33,SEK,-3.48,0.705110,DKK,-2.46,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3305-0846-7731-55646..11,"Feb 2, 2026",8:50:59 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,4352,NOK,24.00,0.651390,DKK,15.63,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3305-0846-7731-55646..11,"Feb 2, 2026",8:50:59 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NO,,4352,NOK,-3.60,0.651390,DKK,-2.34,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3345-9191-1914-27226..2,"Feb 2, 2026",9:29:31 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,9231 AG,EUR,1.98,7.468600,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3345-9191-1914-27226..2,"Feb 2, 2026",9:29:31 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,9231 AG,EUR,-0.30,7.468600,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3318-6461-4704-08035..1,"Feb 2, 2026",9:37:42 AM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,6921WD,EUR,1.98,7.468600,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3318-6461-4704-08035..1,"Feb 2, 2026",9:37:42 AM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,6921WD,EUR,-0.30,7.468600,DKK,-2.24,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3354-5740-8280-72275,"Feb 2, 2026",11:39:36 AM PST,,Charge refund,Full,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,b0s,SE,,72460,SEK,-22.40,0.708240,DKK,-15.86,prosubmonth,,4994183596643847628,Yes,,,,In-app
GPA.3354-5740-8280-72275,"Feb 2, 2026",11:39:36 AM PST,,Google fee refund,Full,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,b0s,SE,,72460,SEK,3.36,0.708240,DKK,2.38,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3393-9280-1875-34630,"Feb 2, 2026",11:47:48 AM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,pa3q,US,SC,29607,USD,2.49,6.329000,DKK,15.76,prosub,,4994183596643847628,Yes,,,,In-app
GPA.3393-9280-1875-34630,"Feb 2, 2026",11:47:48 AM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,pa3q,US,SC,29607,USD,-0.37,6.329000,DKK,-2.34,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,In-app
GPA.3311-8442-6194-22013..0,"Feb 2, 2026",12:33:04 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,43367,SEK,22.40,0.705900,DKK,15.81,prosubmonth,,4994183596643847628,Yes,,,,
GPA.3311-8442-6194-22013..0,"Feb 2, 2026",12:33:04 PM PST,,Google fee,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,SE,,43367,SEK,-3.36,0.705900,DKK,-2.37,prosubmonth,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3359-6268-8313-79969..5,"Feb 2, 2026",12:56:27 PM PST,,Charge,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,CA,ON,P6B 2W8,CAD,3.19,4.629700,DKK,14.77,prosub,,4994183596643847628,Yes,,,,
GPA.3359-6268-8313-79969..5,"Feb 2, 2026",12:56:27 PM PST,,Google fee,,Pro Subscription (Words With Friends Solver),com.deepinkcode.wordswithfriendssolver,Subscription,prosub,,CA,ON,P6B 2W8,CAD,-0.48,4.629700,DKK,-2.22,prosub,,4994183596643847628,Yes,15,SUBSCRIPTIONS,,
GPA.3397-1661-9105-77842..13,"Feb 2, 2026",1:09:09 PM PST,,Charge,,Pro Subscription (WF Solver),com.deepinkcode.wordfeudsolver,Subscription,prosub,,NL,,2311 RA,EUR,1.98,7.468400,DKK,14.79,prosubmonth,,4994183596643847628,Yes,,,,
